filename,label
2011_006135.jpg,person
2008_006482.jpg,chair
2008_006482.jpg,diningtable
2010_005054.jpg,tvmonitor
2010_005054.jpg,sofa
2010_005732.jpg,cat
2011_004044.jpg,person
2010_003343.jpg,sheep
2011_002435.jpg,sofa
2011_002435.jpg,person
2008_000795.jpg,person
2008_000795.jpg,bottle
2012_000947.jpg,person
2012_002188.jpg,person
2011_000222.jpg,bird
2008_002182.jpg,cat
2008_005821.jpg,bird
2008_003288.jpg,person
2007_002120.jpg,bird
2007_002120.jpg,person
2009_003838.jpg,car
2011_001128.jpg,cat
2010_001540.jpg,bicycle
2011_004050.jpg,person
2008_000959.jpg,car
2008_000959.jpg,person
2011_002421.jpg,boat
2011_005428.jpg,person
2011_002347.jpg,cat
2011_002347.jpg,bird
2008_007788.jpg,bird
2011_003059.jpg,train
2009_001949.jpg,boat
2008_006496.jpg,cow
2008_006496.jpg,person
2011_004736.jpg,person
2008_007950.jpg,sofa
2008_007950.jpg,person
2011_001896.jpg,bicycle
2011_000550.jpg,sofa
2010_000138.jpg,horse
2009_004831.jpg,bicycle
2009_004831.jpg,person
2009_004831.jpg,bicycle
2009_004831.jpg,person
2011_006121.jpg,person
2009_002298.jpg,bird
2010_003419.jpg,bird
2009_001961.jpg,tvmonitor
2009_001961.jpg,sofa
2010_005068.jpg,bird
2011_000578.jpg,dog
2011_001666.jpg,chair
2010_000110.jpg,dog
2010_000110.jpg,person
2011_001100.jpg,person
2011_001100.jpg,car
2009_003810.jpg,dog
2010_006207.jpg,person
2008_000971.jpg,person
2011_002409.jpg,cat
2008_000965.jpg,person
2010_004404.jpg,aeroplane
2011_005372.jpg,person
2009_003804.jpg,horse
2011_001114.jpg,aeroplane
2010_006213.jpg,person
2010_006575.jpg,person
2008_002814.jpg,dog
2011_001672.jpg,person
2010_004362.jpg,dog
2010_004362.jpg,person
2011_005414.jpg,person
2008_008487.jpg,horse
2008_008487.jpg,person
2010_002713.jpg,cat
2011_003065.jpg,bus
2011_003065.jpg,car
2009_001975.jpg,pottedplant
